iso_code,date,indicator,value
USA,2020-09-12,Daily ICU occupancy,8312.0
USA,2020-09-12,Daily ICU occupancy per million,24.967
USA,2020-09-12,Daily hospital occupancy,26510.0
USA,2020-09-12,Daily hospital occupancy per million,79.63
USA,2020-09-12,Weekly new hospital admissions,27966.0
USA,2020-09-12,Weekly new hospital admissions per million,84.003
USA,2020-09-13,Daily ICU occupancy,8261.0
USA,2020-09-13,Daily ICU occupancy per million,24.814
USA,2020-09-13,Daily hospital occupancy,26329.0
USA,2020-09-13,Daily hospital occupancy per million,79.086
USA,2020-09-13,Weekly new hospital admissions,28408.0
USA,2020-09-13,Weekly new hospital admissions per million,85.331
USA,2020-09-14,Daily ICU occupancy,8267.0
USA,2020-09-14,Daily ICU occupancy per million,24.832
USA,2020-09-14,Daily hospital occupancy,26795.0
USA,2020-09-14,Daily hospital occupancy per million,80.486
USA,2020-09-14,Weekly new hospital admissions,28036.0
USA,2020-09-14,Weekly new hospital admissions per million,84.214
USA,2020-09-15,Daily ICU occupancy,8161.0
USA,2020-09-15,Daily ICU occupancy per million,24.514
USA,2020-09-15,Daily hospital occupancy,26941.0
USA,2020-09-15,Daily hospital occupancy per million,80.925
USA,2020-09-15,Weekly new hospital admissions,28261.0
USA,2020-09-15,Weekly new hospital admissions per million,84.89
USA,2020-09-16,Daily ICU occupancy,8075.0
USA,2020-09-16,Daily ICU occupancy per million,24.255
USA,2020-09-16,Daily hospital occupancy,26381.0
USA,2020-09-16,Daily hospital occupancy per million,79.242
USA,2020-09-16,Weekly new hospital admissions,27194.0
USA,2020-09-16,Weekly new hospital admissions per million,81.684
USA,2020-09-17,Daily ICU occupancy,8026.0
USA,2020-09-17,Daily ICU occupancy per million,24.108
USA,2020-09-17,Daily hospital occupancy,26093.0
USA,2020-09-17,Daily hospital occupancy per million,78.377
USA,2020-09-17,Weekly new hospital admissions,26260.0
USA,2020-09-17,Weekly new hospital admissions per million,78.879
USA,2020-09-18,Daily ICU occupancy,7971.0
USA,2020-09-18,Daily ICU occupancy per million,23.943
USA,2020-09-18,Daily hospital occupancy,25839.0
USA,2020-09-18,Daily hospital occupancy per million,77.614
USA,2020-09-18,Weekly new hospital admissions,25322.0
USA,2020-09-18,Weekly new hospital admissions per million,76.061
USA,2020-09-19,Daily ICU occupancy,7834.0
USA,2020-09-19,Daily ICU occupancy per million,23.532
USA,2020-09-19,Daily hospital occupancy,25489.0
